652.149.907;6860988.72;"{""coordinates"": [2.34796874310425, 48.847164918268376], ""type"": ""Point""}";"48.8471649183,2.3479687431"
652.218.419;6860559.84;"{""coordinates"": [2.348950466794301, 48.843313068663434], ""type"": ""Point""}";"48.8433130687,2.34895046679"
651.460.033;6861033.01;"{""coordinates"": [2.338563528236437, 48.84751159880515], ""type"": ""Point""}";"48.8475115988,2.33856352824"
651.541.081;6860735.81;"{""coordinates"": [2.339701753210292, 48.84484496794415], ""type"": ""Point""}";"48.8448449679,2.33970175321"
652.674.222;6860870.9;"{""coordinates"": [2.355126134710843, 48.84614410512825], ""type"": ""Point""}";"48.8461441051,2.35512613471"
651.644.863;6861925.27;"{""coordinates"": [2.340980550168527, 48.85554951576773], ""type"": ""Point""}";"48.8555495158,2.34098055017"
652.264.804;6861701.49;"{""coordinates"": [2.349454304534929, 48.853583294394326], ""type"": ""Point""}";"48.8535832944,2.34945430453"
653.165.259;6862964.75;"{""coordinates"": [2.361586173036142, 48.86500980619068], ""type"": ""Point""}";"48.8650098062,2.36158617304"
652.614.844;6862075.87;"{""coordinates"": [2.3541827837421723, 48.85697595719344], ""type"": ""Point""}";"48.8569759572,2.35418278374"
651.872.356;6861085.83;"{""coordinates"": [2.344175865985007, 48.848017572739394], ""type"": ""Point""}";"48.8480175727,2.34417586599"
651.275.709;6861728.97;"{""coordinates"": [2.335972180536349, 48.85375643099882], ""type"": ""Point""}";"48.853756431,2.33597218054"
